angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[425, 189, 356, 467]",,0.0,,0.14,,0.01,,0.33,,0.12,,0.39,
0.01,0.21,"[428, 192, 352, 461]","[783, 185, 39, 45]",0.0,0.0,0.1,0.04,0.02,0.25,0.35,0.13,0.08,0.36,0.45,0.0
0.07,0.12,"[434, 192, 345, 449]","[781, 184, 41, 48]",0.0,0.0,0.07,0.04,0.16,0.38,0.26,0.08,0.2,0.38,0.24,0.0
0.04,,"[431, 192, 355, 464]",,0.0,,0.05,,0.06,,0.57,,0.22,,0.06,
0.05,,"[424, 194, 358, 472]",,0.0,,0.04,,0.05,,0.48,,0.36,,0.01,
0.05,,"[424, 187, 365, 482]",,0.0,,0.06,,0.04,,0.28,,0.52,,0.05,
0.05,,"[430, 191, 361, 474]",,0.0,,0.09,,0.02,,0.28,,0.54,,0.02,
0.03,,"[433, 193, 349, 461]",,0.0,,0.18,,0.03,,0.25,,0.47,,0.04,
0.02,,"[429, 182, 359, 480]",,0.0,,0.56,,0.01,,0.05,,0.17,,0.2,
0.02,,"[434, 182, 360, 475]",,0.0,,0.63,,0.04,,0.06,,0.08,,0.18,
0.01,,"[433, 181, 361, 473]",,0.0,,0.4,,0.08,,0.02,,0.02,,0.47,
0.0,,"[437, 183, 356, 468]",,0.0,,0.4,,0.05,,0.02,,0.01,,0.52,
0.01,,"[436, 183, 360, 470]",,0.0,,0.53,,0.08,,0.05,,0.04,,0.28,
0.01,,"[438, 186, 355, 466]",,0.0,,0.46,,0.05,,0.05,,0.03,,0.41,
0.0,,"[435, 185, 359, 474]",,0.0,,0.44,,0.02,,0.02,,0.02,,0.5,
0.01,,"[432, 185, 354, 461]",,0.0,,0.33,,0.02,,0.54,,0.05,,0.05,
0.01,,"[433, 187, 351, 472]",,0.0,,0.11,,0.02,,0.63,,0.21,,0.02,
0.01,,"[432, 188, 352, 477]",,0.0,,0.27,,0.02,,0.01,,0.04,,0.66,
0.03,,"[432, 188, 356, 476]",,0.0,,0.4,,0.03,,0.13,,0.27,,0.15,
0.01,,"[434, 197, 353, 459]",,0.0,,0.19,,0.01,,0.47,,0.17,,0.15,
0.01,,"[429, 195, 355, 468]",,0.0,,0.15,,0.0,,0.75,,0.06,,0.04,
0.02,,"[424, 213, 361, 455]",,0.0,,0.16,,0.0,,0.7,,0.08,,0.03,
0.0,,"[423, 192, 358, 474]",,0.0,,0.04,,0.02,,0.18,,0.01,,0.75,
0.0,,"[424, 192, 359, 480]",,0.0,,0.02,,0.0,,0.01,,0.0,,0.97,
0.01,,"[430, 196, 352, 464]",,0.0,,0.08,,0.0,,0.09,,0.01,,0.81,
0.02,,"[431, 199, 340, 470]",,0.0,,0.48,,0.0,,0.26,,0.14,,0.1,
0.02,,"[433, 188, 357, 475]",,0.0,,0.33,,0.04,,0.25,,0.12,,0.24,
0.01,,"[435, 187, 353, 477]",,0.0,,0.08,,0.01,,0.74,,0.1,,0.05,
0.02,,"[431, 186, 352, 477]",,0.0,,0.25,,0.01,,0.51,,0.09,,0.12,
0.02,,"[445, 207, 342, 456]",,0.0,,0.09,,0.01,,0.79,,0.04,,0.06,
0.01,,"[442, 207, 344, 462]",,0.0,,0.1,,0.01,,0.66,,0.03,,0.19,
0.01,,"[441, 204, 342, 461]",,0.0,,0.22,,0.01,,0.53,,0.07,,0.17,
0.02,,"[438, 206, 345, 462]",,0.0,,0.29,,0.0,,0.46,,0.09,,0.14,
0.01,,"[437, 206, 344, 461]",,0.0,,0.3,,0.0,,0.41,,0.06,,0.21,
0.01,,"[434, 206, 346, 456]",,0.0,,0.26,,0.0,,0.52,,0.12,,0.1,
0.01,,"[430, 205, 338, 445]",,0.0,,0.13,,0.0,,0.63,,0.18,,0.05,
0.01,,"[432, 201, 336, 449]",,0.0,,0.16,,0.0,,0.51,,0.29,,0.03,
0.01,,"[433, 204, 344, 467]",,0.0,,0.38,,0.0,,0.24,,0.24,,0.12,
0.02,0.36,"[438, 189, 342, 466]","[879, 627, 33, 41]",0.0,0.0,0.28,0.08,0.01,0.01,0.39,0.05,0.24,0.49,0.07,0.01
0.02,,"[436, 186, 349, 473]",,0.0,,0.22,,0.03,,0.45,,0.21,,0.07,
0.02,,"[436, 190, 351, 474]",,0.0,,0.21,,0.07,,0.31,,0.25,,0.14,
0.02,,"[438, 189, 345, 470]",,0.0,,0.09,,0.06,,0.5,,0.28,,0.04,
0.01,,"[437, 200, 340, 462]",,0.0,,0.25,,0.04,,0.46,,0.19,,0.04,
0.01,,"[432, 199, 343, 462]",,0.0,,0.33,,0.06,,0.31,,0.19,,0.09,
0.02,,"[425, 194, 342, 468]",,0.0,,0.28,,0.01,,0.35,,0.27,,0.06,
0.02,,"[419, 196, 346, 463]",,0.0,,0.18,,0.01,,0.53,,0.2,,0.05,
0.02,,"[414, 194, 336, 446]",,0.0,,0.13,,0.04,,0.55,,0.23,,0.03,
0.01,,"[411, 198, 333, 443]",,0.0,,0.15,,0.03,,0.63,,0.11,,0.07,
0.01,,"[408, 199, 336, 443]",,0.0,,0.19,,0.05,,0.59,,0.08,,0.07,
0.01,,"[402, 199, 326, 438]",,0.0,,0.09,,0.04,,0.73,,0.06,,0.07,
0.01,,"[397, 199, 324, 432]",,0.0,,0.08,,0.03,,0.77,,0.05,,0.07,
0.01,0.22,"[395, 200, 323, 421]","[679, 157, 30, 36]",0.0,0.0,0.09,0.04,0.01,0.13,0.84,0.36,0.04,0.24,0.01,0.0
0.01,,"[386, 207, 331, 413]",,0.0,,0.06,,0.0,,0.88,,0.03,,0.01,
0.01,,"[388, 204, 329, 429]",,0.0,,0.09,,0.01,,0.54,,0.04,,0.32,
0.01,,"[389, 202, 329, 438]",,0.0,,0.1,,0.01,,0.4,,0.05,,0.42,
0.01,,"[395, 203, 326, 433]",,0.0,,0.18,,0.0,,0.1,,0.04,,0.66,
0.02,,"[387, 195, 328, 429]",,0.0,,0.24,,0.05,,0.4,,0.13,,0.16,
0.02,,"[389, 193, 324, 437]",,0.0,,0.38,,0.02,,0.24,,0.27,,0.07,
0.01,,"[395, 198, 322, 431]",,0.0,,0.25,,0.02,,0.34,,0.17,,0.2,
0.01,,"[394, 202, 329, 428]",,0.0,,0.16,,0.02,,0.59,,0.07,,0.15,
0.01,,"[401, 205, 327, 429]",,0.0,,0.08,,0.02,,0.58,,0.07,,0.25,
0.01,,"[400, 215, 325, 412]",,0.0,,0.07,,0.0,,0.87,,0.04,,0.02,
0.01,,"[392, 202, 328, 438]",,0.0,,0.04,,0.0,,0.78,,0.15,,0.01,
0.01,,"[394, 202, 332, 433]",,0.0,,0.14,,0.0,,0.67,,0.1,,0.07,
0.01,,"[400, 208, 325, 438]",,0.0,,0.32,,0.01,,0.37,,0.23,,0.05,
0.02,,"[402, 209, 323, 436]",,0.0,,0.14,,0.02,,0.42,,0.38,,0.03,
0.01,,"[406, 209, 328, 432]",,0.0,,0.18,,0.03,,0.06,,0.05,,0.66,
0.04,,"[411, 208, 315, 430]",,0.0,,0.19,,0.03,,0.13,,0.26,,0.34,
0.07,,"[411, 211, 316, 427]",,0.0,,0.05,,0.11,,0.53,,0.1,,0.14,
0.06,,"[413, 212, 313, 413]",,0.0,,0.03,,0.03,,0.45,,0.41,,0.01,
0.05,,"[409, 213, 316, 419]",,0.0,,0.02,,0.02,,0.15,,0.76,,0.01,
0.04,,"[413, 213, 309, 413]",,0.0,,0.02,,0.02,,0.09,,0.82,,0.0,
0.06,,"[407, 207, 319, 409]",,0.0,,0.04,,0.03,,0.09,,0.78,,0.0,
0.05,,"[418, 209, 307, 415]",,0.0,,0.07,,0.12,,0.29,,0.45,,0.02,
0.04,,"[420, 209, 324, 409]",,0.0,,0.15,,0.09,,0.19,,0.49,,0.04,
0.07,,"[413, 196, 320, 420]",,0.0,,0.06,,0.15,,0.15,,0.54,,0.04,
0.03,,"[424, 204, 309, 412]",,0.0,,0.09,,0.12,,0.25,,0.47,,0.04,
0.04,,"[426, 200, 309, 416]",,0.0,,0.12,,0.1,,0.17,,0.53,,0.03,
0.03,,"[427, 203, 307, 412]",,0.0,,0.1,,0.12,,0.25,,0.45,,0.04,
0.06,,"[428, 203, 310, 405]",,0.0,,0.13,,0.09,,0.27,,0.43,,0.02,
0.05,,"[428, 202, 312, 407]",,0.0,,0.1,,0.06,,0.28,,0.49,,0.02,
0.03,,"[433, 203, 311, 414]",,0.0,,0.09,,0.03,,0.44,,0.41,,0.01,
0.05,,"[434, 199, 311, 420]",,0.0,,0.09,,0.07,,0.46,,0.33,,0.01,
0.05,,"[436, 202, 307, 422]",,0.0,,0.14,,0.04,,0.29,,0.46,,0.02,
0.03,,"[439, 205, 331, 414]",,0.0,,0.1,,0.04,,0.51,,0.29,,0.03,
0.04,,"[438, 207, 326, 408]",,0.0,,0.11,,0.12,,0.5,,0.2,,0.04,
0.03,,"[438, 209, 326, 405]",,0.0,,0.1,,0.06,,0.59,,0.19,,0.02,
0.04,,"[433, 201, 312, 420]",,0.0,,0.08,,0.04,,0.51,,0.32,,0.01,
0.08,,"[434, 200, 314, 419]",,0.0,,0.11,,0.04,,0.36,,0.39,,0.03,
0.08,,"[434, 199, 315, 421]",,0.0,,0.11,,0.05,,0.34,,0.36,,0.05,
0.07,,"[434, 200, 315, 421]",,0.0,,0.09,,0.02,,0.43,,0.36,,0.02,
0.05,,"[436, 203, 314, 417]",,0.0,,0.13,,0.03,,0.42,,0.36,,0.01,
