Human Emotions,Emotion Value from the Video
Angry,3.99999999999999
Disgust,0.02
Fear,29.350000000000005
Happy,50.31000000000001
Sad,6.819999999999993
Surprise,17.559999999999988
Neutral,30.839999999999993
