angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.02,,"[541, 184, 243, 320]",,0.0,,0.07,,0.07,,0.67,,0.11,,0.07,
0.02,,"[532, 182, 246, 320]",,0.0,,0.06,,0.03,,0.78,,0.1,,0.01,
0.02,,"[532, 185, 243, 314]",,0.0,,0.05,,0.02,,0.79,,0.1,,0.01,
0.01,,"[531, 183, 245, 327]",,0.0,,0.05,,0.01,,0.87,,0.05,,0.01,
0.01,,"[529, 187, 246, 324]",,0.0,,0.04,,0.01,,0.88,,0.07,,0.0,
0.01,,"[535, 195, 241, 310]",,0.0,,0.03,,0.03,,0.9,,0.04,,0.01,
0.02,,"[527, 189, 242, 310]",,0.0,,0.03,,0.03,,0.83,,0.09,,0.01,
0.01,,"[536, 197, 236, 300]",,0.0,,0.02,,0.02,,0.79,,0.15,,0.0,
0.01,,"[540, 193, 236, 308]",,0.0,,0.01,,0.04,,0.83,,0.11,,0.0,
0.01,,"[542, 193, 235, 301]",,0.0,,0.0,,0.12,,0.84,,0.03,,0.0,
0.0,,"[538, 200, 239, 293]",,0.0,,0.0,,0.63,,0.36,,0.0,,0.0,
0.0,,"[537, 205, 238, 281]",,0.0,,0.0,,0.61,,0.39,,0.0,,0.0,
0.0,,"[537, 201, 237, 294]",,0.0,,0.0,,0.82,,0.17,,0.0,,0.0,
0.0,,"[540, 207, 233, 287]",,0.0,,0.0,,0.74,,0.25,,0.0,,0.0,
0.0,,"[539, 204, 236, 296]",,0.0,,0.0,,0.82,,0.18,,0.0,,0.0,
0.0,,"[538, 212, 231, 290]",,0.0,,0.0,,0.87,,0.13,,0.0,,0.0,
0.0,,"[535, 211, 230, 302]",,0.0,,0.0,,0.8,,0.19,,0.0,,0.0,
0.0,,"[538, 218, 229, 298]",,0.0,,0.0,,0.7,,0.29,,0.0,,0.0,
0.0,,"[536, 233, 230, 281]",,0.0,,0.0,,0.72,,0.28,,0.0,,0.0,
0.0,,"[541, 239, 232, 277]",,0.0,,0.0,,0.77,,0.23,,0.0,,0.0,
0.0,,"[538, 239, 233, 278]",,0.0,,0.0,,0.75,,0.25,,0.0,,0.0,
0.0,,"[538, 240, 231, 276]",,0.0,,0.0,,0.89,,0.11,,0.0,,0.0,
0.0,,"[532, 238, 237, 280]",,0.0,,0.0,,0.9,,0.09,,0.0,,0.01,
0.0,,"[527, 223, 233, 296]",,0.0,,0.0,,0.78,,0.22,,0.0,,0.01,
0.0,,"[528, 222, 231, 300]",,0.0,,0.0,,0.77,,0.22,,0.0,,0.0,
0.0,,"[523, 219, 234, 303]",,0.0,,0.0,,0.68,,0.31,,0.0,,0.01,
0.0,,"[523, 223, 228, 296]",,0.0,,0.0,,0.76,,0.24,,0.0,,0.0,
0.0,,"[520, 217, 232, 304]",,0.0,,0.0,,0.81,,0.18,,0.0,,0.01,
0.0,,"[512, 215, 241, 306]",,0.0,,0.0,,0.83,,0.16,,0.0,,0.0,
0.0,,"[513, 217, 237, 303]",,0.0,,0.0,,0.89,,0.11,,0.0,,0.01,
0.0,,"[511, 212, 240, 311]",,0.0,,0.0,,0.92,,0.07,,0.0,,0.01,
0.0,,"[510, 211, 241, 313]",,0.0,,0.0,,0.92,,0.04,,0.0,,0.04,
0.0,,"[510, 211, 241, 310]",,0.0,,0.0,,0.9,,0.06,,0.0,,0.04,
0.0,,"[517, 210, 230, 298]",,0.0,,0.0,,0.95,,0.02,,0.0,,0.03,
0.0,,"[520, 207, 231, 294]",,0.0,,0.0,,0.93,,0.02,,0.0,,0.05,
0.0,,"[522, 204, 235, 307]",,0.0,,0.0,,0.94,,0.01,,0.0,,0.04,
0.0,,"[524, 203, 229, 295]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,"[528, 203, 229, 301]",,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,"[529, 200, 231, 308]",,0.0,,0.0,,0.96,,0.0,,0.0,,0.03,
0.0,,"[523, 197, 237, 310]",,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.01,,"[526, 200, 231, 301]",,0.0,,0.0,,0.8,,0.0,,0.0,,0.18,
0.02,,"[533, 203, 232, 301]",,0.0,,0.01,,0.87,,0.01,,0.0,,0.1,
0.02,,"[533, 205, 234, 301]",,0.0,,0.01,,0.89,,0.0,,0.0,,0.07,
0.01,,"[534, 202, 235, 306]",,0.0,,0.01,,0.82,,0.0,,0.0,,0.16,
0.06,,"[537, 207, 231, 301]",,0.0,,0.04,,0.83,,0.0,,0.0,,0.06,
0.03,,"[539, 209, 229, 300]",,0.0,,0.06,,0.82,,0.0,,0.01,,0.07,
0.1,,"[539, 205, 230, 304]",,0.0,,0.06,,0.51,,0.01,,0.02,,0.3,
0.11,,"[541, 213, 227, 296]",,0.0,,0.07,,0.54,,0.04,,0.02,,0.22,
0.12,,"[543, 216, 227, 298]",,0.0,,0.11,,0.65,,0.02,,0.02,,0.09,
0.1,,"[546, 215, 222, 301]",,0.0,,0.07,,0.64,,0.03,,0.02,,0.15,
